INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,SALES_PRICE
1004,1,1,3,Yes,Commercial,7600000
1986,2,1,5,No,Commercial,21717770
909,1,1,3,Yes,Commercial,13159200
1855,3,2,5,No,Others,9630290
1226,1,1,3,Yes,Others,7406250
1220,2,1,4,No,Commercial,12394750
1167,1,1,3,No,Other,8488790
1847,3,2,5,No,Commercial,16800250
771,1,1,2,No,Others,8308970
1635,2,1,4,No,Others,8083650
1203,2,1,4,Yes,Commercial,14938000
1054,1,1,3,No,Others,9449730
1196,1,1,3,No,Others,8774370
1056,1,1,3,Yes,Others,9386490
1865,3,2,5,No,Commercial,15499680
1868,3,2,5,No,Commercial,15714080
1639,2,2,4,Yes,House,8656000
796,1,1,2,Yes,Commercial,10912550
1136,1,1,3,Yes,Others,8287550
1902,2,1,5,Yes,Commercial,21203240
1069,1,1,3,Yes,Others,10905530
931,1,1,3,Yes,Others,9185970
2010,3,2,5,No,Others,10925400
1074,1,1,3,No,Others,9627380
1972,2,1,5,No,Others,13922760
1685,1,1,4,No,House,12601080
1130,1,1,3,Yes,Commercial,13383350
1301,1,1,3,Yes,Others,7939625
730,1,1,2,Yes,House,8848285
1806,2,1,5,No,House,11338200
1981,2,1,5,No,House,12872430
868,1,1,3,No,Others,9042050
1721,1,1,4,Yes,Others,14874380
1755,2,1,4,Yes,Others,10222380
1709,1,1,4,No,Others,12928590
2114,3,2,5,Yes,Commercial,17564820
1226,1,1,3,No,House,4971250
1648,2,1,4,Yes,Others,9170660
856,1,1,3,Yes,Others,10383420
904,1,1,3,No,Commercial,11601400
1198,1,1,3,No,Others,8249260
931,1,1,3,No,Commercial,6944500
1290,1,1,3,Yes,House,7745000
507,1,1,2,Yes,House,5728000
2492,4,2,6,No,Commercial,18725520
851,1,1,2,No,House,3572250
1882,2,1,5,Yes,Others,16051580
1710,1,1,4,Yes,Commercial,20215970
1412,2,2,4,No,House,8379000
779,1,1,2,No,House,5290635
1655,1,1,4,No,Others,12548930
940,1,1,3,No,House,5857750
1667,2,1,4,Yes,House,10729700
1926,3,2,5,Yes,Commercial,17006780
718,1,1,2,Yes,Others,5570050
545,1,1,2,No,Others,3854375
1249,1,1,3,Yes,Others,8594875
1894,2,1,5,Yes,House,13549250
1469,2,2,4,No,Commercial,9480750
916,1,1,3,Yes,House,5847520
934,1,1,3,Yes,House,9710900
1691,2,2,4,No,House,9398750
1236,1,1,3,No,Commercial,8806250
1577,1,1,4,Yes,Others,12087330
1915,2,1,5,Yes,Others,14175620
1600,1,1,4,Yes,House,11920820
1579,2,1,4,Yes,Commercial,13364730
1260,2,2,4,No,Others,6922975
1021,1,1,3,No,Commercial,11673175
2174,3,2,5,Yes,Others,13069740
1589,1,,4,No,Others,12212350
668,1,1,2,Yes,Commercial,10283575
1724,2,1,4,Yes,House,8956480
890,1,1,3,Yes,House,7187350
1218,2,2,4,No,Commercial,12574850
1792,1,1,4,Yes,House,13906270
1378,2,2,4,No,Others,9917500
898,1,1,3,Yes,Commercial,8629750
1928,2,1,5,No,House,11667050
1233,2,1,4,No,House,9817150
1618,2,1,4,Yes,Others,9263050
627,1,1,2,No,House,6587500
1563,2,1,4,No,House,9799360
1693,2,2,4,Yes,Commercial,12801500
1522,1,1,4,No,Commercial,17454510
1090,1,1,3,Yes,Others,9832420
1085,1,1,3,Yes,Commercial,14363500
1687,1,1,4,No,Others,12476770
692,1,1,2,Yes,Commercial,10381355
1518,1,1,4,Yes,Commercial,17600240
1025,1,1,3,No,Commercial,10934875
2170,3,2,5,Yes,House,12372160
969,1,1,3,Yes,Commercial,11248750
1546,2,1,4,No,Commercial,14241140
1709,2,1,4,Yes,House,10160600
1659,1,1,4,Yes,Others,13539080
755,1,1,2,No,Commercial,10727750
1182,1,1,3,Yes,House,9867055
735,1,1,2,No,Commercial,9478710
1089,1,1,3,Yes,House,9050200
1534,2,1,4,Yes,Others,7904210
1622,1,1,4,Yes,House,13063450
2198,3,2,5,Yes,Others,13584980
1293,2,1,4,No,Commercial,13116050
1641,2,1,4,No,Others,10012600
1950,3,2,5,Yes,Others,12105920
1245,1,1,3,No,Others,4918375
905,1,1,3,No,Others,7703200
1496,2,1,4,No,House,8569080
1892,3,2,5,Yes,House,12146620
1517,2,1,4,No,Commercial,11671620
1034,1,1,3,Yes,Others,9256740
1755,2,1,4,Yes,Commercial,14915900
1622,1,1,4,Yes,House,13547790
1092,1,1,3,No,Others,8213040
821,1,1,3,No,House,7304000
1694,2,1,4,No,Others,10390900
1809,2,1,5,No,Commercial,19206870
1401,2,2,4,Yes,Others,9965375
1470,2,2,4,No,Others,7207000
798,1,1,2,No,Commercial,9070550
764,1,1,2,No,House,5670200
1135,1,1,3,No,Others,9253200
939,1,1,3,No,House,4294000
